Consistency Check Warnings (Real Issues + Faulty Data)
============================================================

• [RSI Mean Reversion Selective] ⚠️  REAL ISSUES: Detected 138 suspicious price jumps > 15% (possible missing corporate actions)
•   Trade #99 (SNAP) @ 2026-05-07 23:50:00: -96.71% ($178.58 → $5.87) [synthetic_jump]
•   Trade #100 (PLTR) @ 2026-05-07 23:50:00: +2213.42% ($5.87 → $135.73) [synthetic_jump]
•   Trade #101 (ETN) @ 2026-05-07 23:50:00: +194.75% ($135.73 → $400.06) [synthetic_jump]
•   Trade #103 (PINS) @ 2026-05-07 23:50:00: -94.82% ($413.28 → $21.40) [synthetic_jump]
•   Trade #104 (BE) @ 2026-05-07 23:50:00: +1109.85% ($21.40 → $258.88) [synthetic_jump]
•   Trade #105 (GM) @ 2026-05-07 23:50:00: -69.75% ($258.88 → $78.31) [synthetic_jump]
•   Trade #106 (CRWD) @ 2026-05-07 23:50:00: +545.43% ($78.31 → $505.44) [synthetic_jump]
•   Trade #107 (BKR) @ 2026-05-07 23:50:00: -87.29% ($505.44 → $64.23) [synthetic_jump]
•   Trade #108 (RIO) @ 2026-05-07 23:50:00: +63.46% ($64.23 → $105.00) [synthetic_jump]
•   Trade #109 (AVGO) @ 2026-05-07 23:50:00: +293.26% ($105.00 → $412.93) [synthetic_jump]
•   Trade #110 (ASML) @ 2026-05-07 23:50:00: +267.84% ($412.93 → $1518.92) [synthetic_jump]
•   Trade #111 (SHOP) @ 2026-05-07 23:50:00: -92.73% ($1518.92 → $110.36) [synthetic_jump]
•   Trade #112 (NTLA) @ 2026-05-07 23:50:00: -87.63% ($110.36 → $13.65) [synthetic_jump]
•   Trade #113 (AVAV) @ 2026-05-07 23:50:00: +1123.53% ($13.65 → $167.00) [synthetic_jump]
•   Trade #114 (CTRA) @ 2026-05-07 23:50:00: -80.54% ($167.00 → $32.49) [synthetic_jump]
•   Trade #115 (SYK) @ 2026-05-07 23:50:00: +806.31% ($32.49 → $294.46) [synthetic_jump]
•   Trade #116 (RIOT) @ 2026-05-07 23:50:00: -91.95% ($294.46 → $23.69) [synthetic_jump]
•   Trade #117 (AFRM) @ 2026-05-07 23:50:00: +181.23% ($23.69 → $66.63) [synthetic_jump]
•   Trade #118 (MARA) @ 2026-05-07 23:50:00: -81.29% ($66.63 → $12.47) [synthetic_jump]
•   Trade #119 (FANG) @ 2026-05-07 23:50:00: +1445.52% ($12.47 → $192.73) [synthetic_jump]
•   Trade #121 (EDIT) @ 2026-05-07 23:50:00: -98.50% ($198.02 → $2.98) [synthetic_jump]
•   Trade #122 (SLB) @ 2026-05-07 23:50:00: +1690.57% ($2.98 → $53.36) [synthetic_jump]
•   Trade #123 (NIO) @ 2026-05-07 23:50:00: -88.98% ($53.36 → $5.88) [synthetic_jump]
•   Trade #124 (LI) @ 2026-05-07 23:50:00: +198.99% ($5.88 → $17.58) [synthetic_jump]
•   Trade #125 (JD) @ 2026-05-07 23:50:00: +71.59% ($17.58 → $30.16) [synthetic_jump]
•   Trade #126 (PYPL) @ 2026-05-07 23:50:00: +52.99% ($30.16 → $46.14) [synthetic_jump]
•   Trade #127 (SOUN) @ 2026-05-07 23:50:00: -81.61% ($46.14 → $8.48) [synthetic_jump]
•   Trade #128 (SPCE) @ 2026-05-07 23:50:00: -69.97% ($8.48 → $2.55) [synthetic_jump]
•   Trade #129 (APA) @ 2026-05-07 23:50:00: +1346.74% ($2.55 → $36.86) [synthetic_jump]
•   Trade #130 (DD) @ 2026-05-07 23:50:00: +30.23% ($36.86 → $48.00) [synthetic_jump]
•   Trade #132 (BLK) @ 2026-05-07 23:50:00: +2129.56% ($47.32 → $1055.00) [synthetic_jump]
•   Trade #133 (BLDP) @ 2026-05-07 23:50:00: -99.56% ($1055.00 → $4.66) [synthetic_jump]
•   Trade #134 (TER) @ 2026-05-07 23:50:00: +7505.56% ($4.66 → $354.34) [synthetic_jump]
•   Trade #135 (GPN) @ 2026-05-07 23:50:00: -80.20% ($354.34 → $70.15) [synthetic_jump]
•   Trade #136 (CRM) @ 2026-05-07 23:50:00: +159.51% ($70.15 → $182.04) [synthetic_jump]
•   Trade #138 (HOOD) @ 2026-05-07 23:50:00: -62.40% ($201.32 → $75.70) [synthetic_jump]
•   Trade #139 (MRNA) @ 2026-05-07 23:50:00: -35.70% ($75.70 → $48.67) [synthetic_jump]
•   Trade #140 (DHR) @ 2026-05-07 23:50:00: +260.89% ($48.67 → $175.66) [synthetic_jump]
•   Trade #141 (MCD) @ 2026-05-07 23:50:00: +61.66% ($175.66 → $283.97) [synthetic_jump]
•   Trade #142 (CL) @ 2026-05-07 23:50:00: -69.24% ($283.97 → $87.36) [synthetic_jump]
•   Trade #143 (Z) @ 2026-05-07 23:50:00: -49.90% ($87.36 → $43.77) [synthetic_jump]
•   Trade #144 (UPST) @ 2026-05-07 23:50:00: -34.08% ($43.77 → $28.85) [synthetic_jump]
•   Trade #145 (BBAI) @ 2026-05-07 23:50:00: -85.66% ($28.85 → $4.14) [synthetic_jump]
•   Trade #146 (FCEL) @ 2026-05-07 23:50:00: +188.41% ($4.14 → $11.93) [synthetic_jump]
•   Trade #147 (ARCT) @ 2026-05-07 23:50:00: -35.71% ($11.93 → $7.67) [synthetic_jump]
• [RSI Mean Reversion Selective] 📊 FAULTY DATA: 1 single-tick anomalies (no trading should occur on these bars)
•   Trade #1 (U) @ 2026-02-02 10:39:00: -80.68% ($157.91 → $30.51) [first_trade_artifact]
• [Smart RSI Confluence] ⚠️  REAL ISSUES: Detected 93 suspicious price jumps > 15% (possible missing corporate actions)
