Strategy Summary: SMA20Penguin

Portfolio Totals
Cash,"$6,384.33"
Market Value,$0.00
Total Value,"$6,384.33"
Total Buy Count,22400
Total Sell Count,22400
Total PnL,"$-3,615.67"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
BALL,45,45,45,"$2,738.97","$2,738.24",$-0.73,-0.03%
BK,55,55,55,"$6,538.98","$6,528.42",$-10.56,-0.16%
BKNG,62,62,62,"$227,036.72","$226,898.51",$-138.21,-0.06%
BKR,100,100,100,"$5,757.40","$5,752.23",$-5.18,-0.09%
BLK,56,56,56,"$58,608.99","$58,524.66",$-84.34,-0.14%
BMY,46,46,46,"$2,678.84","$2,678.52",$-0.31,-0.01%
C,104,104,104,"$11,809.33","$11,788.09",$-21.24,-0.18%
CAT,87,87,87,"$60,640.56","$60,556.39",$-84.18,-0.14%
CB,26,26,26,"$8,421.28","$8,412.60",$-8.68,-0.10%
CCI,65,65,65,"$5,597.95","$5,595.55",$-2.40,-0.04%
CF,186,186,186,"$21,267.58","$21,265.00",$-2.58,-0.01%
CHRW,78,78,78,"$13,852.14","$13,859.33",$7.18,+0.05%
CI,54,54,54,"$14,812.60","$14,803.97",$-8.64,-0.06%
CL,39,39,39,"$3,465.48","$3,468.44",$2.96,+0.09%
CMCSA,75,75,75,"$2,233.70","$2,230.31",$-3.39,-0.15%
CME,38,38,38,"$11,391.28","$11,381.98",$-9.30,-0.08%
CMG,122,122,122,"$4,485.21","$4,484.70",$-0.51,-0.01%
COIN,341,341,341,"$64,510.51","$64,446.99",$-63.52,-0.10%
COP,97,97,97,"$11,078.08","$11,051.14",$-26.94,-0.24%
COST,27,27,27,"$26,550.41","$26,528.48",$-21.94,-0.08%
CRM,124,124,124,"$24,785.54","$24,760.32",$-25.22,-0.10%
CRWD,200,200,200,"$82,785.89","$82,649.13",$-136.76,-0.17%
CSCO,103,103,103,"$8,153.69","$8,139.13",$-14.57,-0.18%
CSX,56,56,56,"$2,183.77","$2,181.37",$-2.41,-0.11%
CTRA,95,95,95,"$2,869.13","$2,871.43",$2.30,+0.08%
CVX,60,60,60,"$11,204.21","$11,194.16",$-10.05,-0.09%
D,39,39,39,"$2,412.12","$2,411.85",$-0.28,-0.01%
DAL,177,177,177,"$11,687.27","$11,680.55",$-6.72,-0.06%
DD,78,78,78,"$3,625.58","$3,623.64",$-1.93,-0.05%
DDOG,196,196,196,"$23,849.18","$23,846.69",$-2.49,-0.01%
DE,46,46,46,"$26,126.31","$26,142.81",$16.49,+0.06%
DG,91,91,91,"$12,888.25","$12,873.27",$-14.98,-0.12%
DHR,60,60,60,"$12,702.63","$12,676.37",$-26.26,-0.21%
DIA,7,7,7,"$3,361.44","$3,356.45",$-5.00,-0.15%
DIS,60,60,60,"$6,309.97","$6,299.88",$-10.09,-0.16%
DLR,52,52,52,"$8,875.23","$8,868.48",$-6.74,-0.08%
DOW,217,217,217,"$7,271.57","$7,267.77",$-3.80,-0.05%
DPZ,66,66,66,"$25,922.06","$25,917.85",$-4.21,-0.02%
DUK,19,19,19,"$2,367.29","$2,367.63",$0.35,+0.01%
DVN,146,146,146,"$6,352.91","$6,348.23",$-4.67,-0.07%
EA,7,7,7,"$1,420.04","$1,417.50",$-2.54,-0.18%
EBAY,86,86,86,"$7,624.14","$7,617.95",$-6.19,-0.08%
ECL,27,27,27,"$7,636.75","$7,624.20",$-12.56,-0.16%
ED,27,27,27,"$2,938.11","$2,935.42",$-2.69,-0.09%
EL,140,140,140,"$13,128.84","$13,121.48",$-7.36,-0.06%
EMR,67,67,67,"$9,606.90","$9,587.83",$-19.07,-0.20%
EOG,66,66,66,"$8,323.62","$8,309.38",$-14.24,-0.17%
EQIX,52,52,52,"$46,676.70","$46,617.60",$-59.10,-0.13%
ETN,83,83,83,"$29,618.92","$29,589.54",$-29.39,-0.10%
ETSY,174,174,174,"$9,362.32","$9,360.78",$-1.54,-0.02%
EXC,31,31,31,"$1,434.17","$1,435.42",$1.24,+0.09%
EXPD,49,49,49,"$7,284.06","$7,280.78",$-3.28,-0.05%
F,93,93,93,"$1,194.91","$1,193.02",$-1.89,-0.16%
FANG,112,112,112,"$19,346.25","$19,326.19",$-20.06,-0.10%
FAST,46,46,46,"$2,057.84","$2,053.31",$-4.53,-0.22%
FCX,241,241,241,"$14,504.19","$14,490.59",$-13.61,-0.09%
FDX,79,79,79,"$27,684.06","$27,671.99",$-12.06,-0.04%
