Strategy Summary: CopilotPenguin

Portfolio Totals
Cash,"$99,973.39"
Total Value,"$99,973.39"
Total Buy Count,309
Total Sell Count,297
Total Shares Bought,309
Total Shares Sold,309
Realized PnL,$-26.61
Total PnL,$-26.61
Open Positions,0

Symbol,Buy Count,Sell Count,Shares Bought,Shares Sold,Position Qty,Total Cost,Total Revenue,Realized PnL,Total PnL,PnL %
FCX,1,1,1,1,0,$42.27,$41.84,$-0.44,$-0.44,-1.04%
FDX,1,1,1,1,0,$250.88,$246.49,$-4.39,$-4.39,-1.75%
FIS,1,1,1,1,0,$60.91,$60.08,$-0.83,$-0.83,-1.36%
FISV,1,1,1,1,0,$133.24,$131.78,$-1.47,$-1.47,-1.10%
FSLY,1,1,1,1,0,$17.79,$17.59,$-0.20,$-0.20,-1.15%
GD,1,1,1,1,0,$260.03,$257.36,$-2.67,$-2.67,-1.03%
GE,1,1,1,1,0,$15.85,$15.68,$-0.17,$-0.17,-1.04%
GILD,1,1,1,1,0,$80.65,$78.25,$-2.40,$-2.40,-2.97%
GIS,1,1,1,1,0,$65.14,$64.29,$-0.86,$-0.86,-1.32%
GM,1,1,1,1,0,$35.95,$35.55,$-0.40,$-0.40,-1.12%
GOOGL,2,2,2,2,0,"$5,584.90","$5,531.23",$-53.67,$-53.67,-0.96%
GPN,1,1,1,1,0,$127.16,$123.53,$-3.64,$-3.64,-2.86%
GPS,1,1,1,1,0,$20.69,$20.09,$-0.60,$-0.60,-2.92%
GREE,1,1,1,1,0,$7.71,$7.52,$-0.19,$-0.19,-2.49%
GS,1,1,1,1,0,$383.05,$378.11,$-4.94,$-4.94,-1.29%
HAL,1,1,1,1,0,$36.57,$36.12,$-0.44,$-0.44,-1.21%
HCA,1,1,1,1,0,$268.82,$376.40,$107.58,$107.58,+40.02%
HD,1,1,1,1,0,$345.03,$341.46,$-3.57,$-3.57,-1.03%
HES,1,1,1,1,0,$145.05,$142.29,$-2.76,$-2.76,-1.90%
HII,1,1,1,1,0,$260.52,$257.91,$-2.61,$-2.61,-1.00%
HLT,1,1,1,1,0,$181.45,$179.58,$-1.88,$-1.88,-1.03%
HON,1,1,1,1,0,$209.10,$206.68,$-2.42,$-2.42,-1.16%
HUBS,1,1,1,1,0,$560.07,$549.21,$-10.86,$-10.86,-1.94%
ICE,1,1,1,1,0,$127.85,$126.12,$-1.73,$-1.73,-1.35%
IFF,1,1,1,1,0,$80.57,$79.61,$-0.96,$-0.96,-1.19%
INTC,1,1,1,1,0,$49.86,$48.91,$-0.96,$-0.96,-1.92%
INTU,1,1,1,1,0,$613.01,$601.10,$-11.91,$-11.91,-1.94%
ISRG,1,1,1,1,0,$334.03,$330.61,$-3.42,$-3.42,-1.02%
ITW,1,1,1,1,0,$259.41,$256.67,$-2.74,$-2.74,-1.06%
JBHT,1,1,1,1,0,$199.02,$196.46,$-2.57,$-2.57,-1.29%
JD,1,1,1,1,0,$28.07,$27.74,$-0.32,$-0.32,-1.15%
JNJ,1,1,1,1,0,$156.87,$155.06,$-1.81,$-1.81,-1.16%
JPM,1,1,1,1,0,$169.88,$166.22,$-3.66,$-3.66,-2.16%
