Strategy Summary: RSIMeanReversionPenguin

Portfolio Totals
Cash,"$58,107.16"
Market Value,$0.00
Total Value,"$58,107.16"
Total Buy Count,1494757
Total Sell Count,512499
Total PnL,"$48,107.16"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
ORCL,5506,2119,5506,"$1,099,977.70","$1,099,912.58",$-65.12,-0.01%
OTIS,2668,946,2668,"$239,354.11","$239,428.52",$74.41,+0.03%
OXY,9765,2969,9765,"$458,664.11","$458,696.32",$32.21,+0.01%
PATH,12408,3417,12408,"$162,710.15","$162,868.15",$158.00,+0.10%
PDD,8044,2734,8044,"$901,361.39","$901,439.16",$77.76,+0.01%
PEG,2329,856,2329,"$191,168.49","$191,170.60",$2.10,+0.00%
PENN,6366,1652,6366,"$103,787.91","$103,853.33",$65.42,+0.06%
PEP,4473,1828,4473,"$652,701.63","$652,811.15",$109.53,+0.02%
PFE,13036,3332,13036,"$329,179.24","$329,184.01",$4.78,+0.00%
PG,4223,1632,4223,"$648,424.78","$648,350.04",$-74.74,-0.01%
PGR,2441,922,2441,"$562,075.84","$562,335.34",$259.51,+0.05%
PH,573,381,573,"$463,205.63","$463,274.60",$68.97,+0.01%
PINS,7197,2463,7197,"$206,637.06","$206,882.31",$245.26,+0.12%
PKG,1666,732,1666,"$347,221.28","$347,218.70",$-2.58,-0.00%
PLD,1833,828,1833,"$221,485.39","$221,605.59",$120.21,+0.05%
PLTR,6647,2178,6647,"$980,348.01","$980,003.76",$-344.25,-0.04%
PLUG,15407,2726,15407,"$27,490.62","$27,545.61",$54.99,+0.20%
PM,3699,1297,3699,"$606,439.40","$606,408.14",$-31.26,-0.01%
PNC,1327,672,1327,"$263,362.03","$263,568.17",$206.14,+0.08%
PPG,1795,823,1795,"$195,590.81","$195,664.84",$74.03,+0.04%
PSA,1462,652,1462,"$418,059.74","$418,382.01",$322.27,+0.08%
PSX,2483,1000,2483,"$346,769.61","$346,940.88",$171.27,+0.05%
PYPL,6717,2645,6717,"$422,510.14","$422,836.46",$326.32,+0.08%
QCOM,4178,1966,4178,"$650,234.39","$650,617.20",$382.81,+0.06%
QQQ,2796,1465,2796,"$1,629,510.92","$1,629,193.14",$-317.79,-0.02%
QRVO,2340,906,2340,"$193,611.34","$193,770.85",$159.51,+0.08%
RBLX,6286,2371,6286,"$566,138.64","$566,254.27",$115.63,+0.02%
RDFN,2758,818,2758,"$25,010.85","$25,059.38",$48.53,+0.19%
REGN,1387,675,1387,"$922,527.42","$923,015.36",$487.94,+0.05%
RIO,6484,2222,6484,"$461,119.29","$461,188.78",$69.49,+0.02%
RIOT,13715,3455,13715,"$178,399.02","$178,584.62",$185.60,+0.10%
RIVN,13141,3371,13141,"$190,263.00","$190,419.05",$156.05,+0.08%
RKLB,12374,3153,12374,"$581,775.04","$582,036.83",$261.79,+0.04%
ROK,1025,578,1025,"$366,542.83","$366,612.96",$70.13,+0.02%
ROKU,3981,1730,3981,"$356,339.47","$356,659.96",$320.49,+0.09%
ROST,1924,862,1924,"$315,891.26","$316,103.43",$212.17,+0.07%
RSG,1754,715,1754,"$391,020.59","$391,179.42",$158.83,+0.04%
RSI,5893,1480,5893,"$99,855.64","$99,954.12",$98.48,+0.10%
RTX,3380,1464,3380,"$563,740.66","$563,897.64",$156.98,+0.03%
RUN,11846,3102,11846,"$151,953.43","$151,933.02",$-20.41,-0.01%
SBUX,5316,2114,5316,"$477,640.53","$477,690.42",$49.90,+0.01%
SCHW,2934,1273,2934,"$270,833.71","$271,074.26",$240.55,+0.09%
SEDG,8897,2777,8897,"$243,289.59","$243,529.50",$239.91,+0.10%
SHOP,4244,2002,4244,"$548,486.66","$548,868.74",$382.08,+0.07%
SHW,1112,555,1112,"$379,658.61","$379,704.02",$45.41,+0.01%
SLB,6602,2390,6602,"$264,092.13","$264,330.70",$238.57,+0.09%
SNAP,13058,3328,13058,"$104,695.09","$104,762.41",$67.32,+0.06%
SNOW,3744,1716,3744,"$744,556.79","$744,931.74",$374.95,+0.05%
SO,3496,1170,3496,"$318,982.41","$319,014.21",$31.80,+0.01%
SOFI,10343,2773,10343,"$211,636.05","$211,648.02",$11.97,+0.01%
SOUN,14063,3238,14063,"$162,467.71","$162,582.72",$115.01,+0.07%
SPCE,13067,3137,13067,"$45,722.29","$45,826.71",$104.42,+0.23%
SPG,1460,700,1460,"$263,255.31","$263,416.45",$161.14,+0.06%
SPGI,1198,603,1198,"$571,262.84","$570,377.61",$-885.23,-0.15%
SPY,3005,1515,3005,"$1,961,078.61","$1,960,741.86",$-336.75,-0.02%
SQ,84,56,84,"$7,262.93","$7,271.46",$8.53,+0.12%
SQM,4586,1529,4586,"$241,030.00","$241,255.14",$225.13,+0.09%
SRE,2245,883,2245,"$192,002.29","$192,081.05",$78.77,+0.04%
STLD,1964,872,1964,"$296,467.51","$296,652.02",$184.51,+0.06%
